# Wave_zero_point coeff_1 coeff_2 coeff_3 coeff_4 t_fft t_no_fft t_total nfreq nthreads version checksum
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.336999999999999522e-01 4.469999999999999751e+00 5.003999999999999559e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.491999999999999993e+00 5.496000000000000441e+00 8.987999999999999545e+00 4.194304000000000000e+06 1.600000000000000000e+01 2.000000000000000000e+00 2.329127601666269953e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.518999999999999906e-01 1.360999999999999988e+00 1.713000000000000078e+00 2.621440000000000000e+05 4.000000000000000000e+00 1.000000000000000000e+00 2.329127588847219954e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.919999999999999485e-01 4.467999999999999972e+00 5.160000000000000142e+00 5.242880000000000000e+05 2.000000000000000000e+00 3.000000000000000000e+00 2.329127588859919840e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.506000000000000227e-01 1.374000000000000110e+00 1.725000000000000089e+00 2.621440000000000000e+05 4.000000000000000000e+00 1.000000000000000000e+00 2.329127588847219954e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.445999999999999730e+00 5.496000000000000441e+00 1.093999999999999950e+01 4.194304000000000000e+06 1.600000000000000000e+01 3.000000000000000000e+00 2.329127601666269953e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.326999999999999513e-01 4.469000000000000306e+00 5.001999999999999780e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-2.997399999999999906e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.650999999999999801e+00 5.575000000000000178e+00 9.226000000000000867e+00 4.194304000000000000e+06 1.600000000000000000e+01 2.000000000000000000e+00 2.329127601666269953e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.186999999999999833e+00 5.514999999999999680e+00 8.701999999999999957e+00 2.097152000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127599838290053e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.511000000000000232e-01 1.370999999999999996e+00 1.721999999999999975e+00 2.621440000000000000e+05 4.000000000000000000e+00 1.000000000000000000e+00 2.329127588847219954e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 2.692000000000000171e+00 5.472000000000000419e+00 8.163999999999999702e+00 2.097152000000000000e+06 8.000000000000000000e+00 3.000000000000000000e+00 2.329127599838290053e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 4.068999999999999839e-01 6.451999999999999957e+00 6.858999999999999986e+00 2.621440000000000000e+05 1.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 2.237000000000000099e-01 1.368000000000000105e+00 1.592000000000000082e+00 2.621440000000000000e+05 4.000000000000000000e+00 2.000000000000000000e+00 2.329127588847219954e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.189999999999999947e+00 5.560999999999999943e+00 8.750999999999999446e+00 2.097152000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127599838290053e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 2.656000000000000139e+00 5.471000000000000085e+00 8.127000000000000668e+00 2.097152000000000000e+06 8.000000000000000000e+00 3.000000000000000000e+00 2.329127599838290053e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 7.352999999999999536e-01 4.466999999999999638e+00 5.201999999999999957e+00 5.242880000000000000e+05 2.000000000000000000e+00 1.000000000000000000e+00 2.329127588859919840e+01
-1.498699999999999953e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 7.006999999999999673e+00 5.272999999999999687e+00 1.227999999999999936e+01 8.388608000000000000e+06 3.200000000000000000e+01 2.000000000000000000e+00 2.329127601666230163e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.332999999999999963e-01 4.464000000000000412e+00 4.996999999999999886e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 5.333999999999999853e-01 4.471000000000000085e+00 5.004999999999999893e+00 5.242880000000000000e+05 2.000000000000000000e+00 2.000000000000000000e+00 2.329127588859919840e+01
-5.994799999999999813e-10 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 3.181000000000000050e+00 5.536999999999999922e+00 8.717999999999999972e+00 2.097152000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127599838290053e+01
-4.795800000000000334e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 4.083999999999999853e-01 4.411999999999999922e+00 4.820000000000000284e+00 2.621440000000000000e+05 1.000000000000000000e+00 3.000000000000000000e+00 2.329127588847219954e+01
-2.397900000000000167e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 6.918999999999999595e-01 4.474999999999999645e+00 5.166999999999999815e+00 5.242880000000000000e+05 2.000000000000000000e+00 3.000000000000000000e+00 2.329127588859919840e+01
