Version Checksum Elapsed_time grid_size N_gangs vec_length
 3 263536 15.1096 4096 131 128
 1 263536 19.9082 4096 131 128
 2 263536 12.9618 4096 131 128
 3 263536 4.91066 4096 131 128
 1 263536 4.91429 4096 131 128
 2 263536 4.91401 4096 131 128
 3 263536 4.86761 4096 131 128
 1 263536 4.94103 4096 131 128
 2 263536 5.2795 4096 131 128
 3 263536 4.96439 4096 131 128
 1 263536 18.7214 4096 136 128
 2 263536 15.7938 4096 136 128
 3 263536 15.9045 4096 136 128
 1 263536 18.8631 4096 136 128
 2 263536 15.0632 4096 136 128
 3 263536 15.0764 4096 136 128
 1 263536 18.7209 4096 136 128
 2 263536 15.0435 4096 136 128
 3 263536 15.0364 4096 136 128
 1 263536 18.7463 4096 136 128
 2 263536 9.4865 4096 136 128
 3 263536 5.01349 4096 136 128
 1 263536 19.0607 4096 136 128
 2 263536 15.0487 4096 136 128
 3 263536 15.0889 4096 136 128
 1 263536 18.7223 4096 136 128
 2 263536 15.0242 4096 136 128
 3 263536 15.0662 4096 136 128
 1 263536 18.622 4096 141 128
 2 263536 15.0344 4096 141 128
 3 263536 5.03773 4096 141 128
 1 263536 4.91129 4096 141 128
 2 263536 4.82191 4096 141 128
 3 263536 14.9998 4096 141 128
 1 263536 18.5563 4096 141 128
 2 263536 15.0285 4096 141 128
 3 263536 15.0356 4096 141 128
 1 263536 18.6735 4096 141 128
 2 263536 15.5692 4096 141 128
 3 263536 15.6288 4096 141 128
 1 263536 19.3998 4096 141 128
 2 263536 15.6011 4096 141 128
 3 263536 15.4428 4096 141 128
 1 263536 4.89006 4096 141 128
 2 263536 5.21263 4096 141 128
 3 263536 5.29829 4096 141 128
